feature,coef,t,r2,n,abs_t
emotion_valence,0.07267561909118309,15.702788657770755,0.003909797885426891,62822,15.702788657770755
p_joy_wmean_emotion,0.07103398514204973,14.993800845544518,0.003565940627064612,62822,14.993800845544518
emotion_joy_over_neutral,0.03300994539647344,13.79451655555273,0.003019962151683986,62822,13.79451655555273
emotion_negative_mean,-0.7471132448061131,-13.011386807819116,0.0026876977028129634,62822,13.011386807819116
p_sadness_wmean_emotion,-0.3048992186211289,-12.121602370784878,0.0023334984962030125,62822,12.121602370784878
p_neutral_wmean_emotion,-0.05251245484233928,-11.682950570319752,0.0021680263803820488,62822,11.682950570319752
p_disgust_wmean_emotion,-0.4511792328517937,-8.753299878900789,0.0012181935762979323,62822,8.753299878900789
entropy_wmean_emotion,0.030351764092381474,7.793398198990572,0.0009659087716240577,62822,7.793398198990572
p_anger_wmean_emotion,-0.39906329935580315,-4.991817688983794,0.0003965037195744481,62822,4.991817688983794
p_fear_wmean_emotion,-0.12080027373294072,-4.8061918767043155,0.0003675738553113872,62822,4.8061918767043155
n_tokens_total_emotion,-5.612357626739189e-07,-4.472235057038126,0.0003182827199753602,62822,4.472235057038126
p_surprise_wmean_emotion,0.03907788186173286,3.666589368036313,0.00021396054018596455,62822,3.666589368036313
emotion_arousal,0.025498637425111083,0.876503048904733,1.2229356883053377e-05,62822,0.876503048904733
