model,target,n_obs,r2,adj_r2,rmse
FinBERT,return_1d,62822,0.009185272287432045,0.009122180148188774,0.061745118515220465
Emotion,return_1d,62822,0.009368889486996212,0.009226947183063494,0.061741854225792085
Combined,return_1d,62822,0.012779053610615931,0.012574718616617298,0.061637454678375524
FinBERT,return_3d,62822,0.006481530682513115,0.006418266377034243,0.07752617546773563
Emotion,return_3d,62822,0.006188140794217922,0.006045742737590842,0.07754070755178134
Combined,return_3d,62822,0.008642957533195772,0.008437766450020479,0.07744734765287627
FinBERT,return_5d,62822,0.005676086844429773,0.0056127712506793825,0.08327329773713313
Emotion,return_5d,62822,0.005434571536725663,0.005292065505136501,0.0832867251381062
Combined,return_5d,62822,0.007440855282981995,0.007235415388679889,0.08320532718550055
