feature,coef,t,r2,n,abs_t
emotion_valence,0.06691908128790255,18.141617868380646,0.0052117639604194466,62822,18.141617868380646
p_joy_wmean_emotion,0.06523147034475112,17.27468226902631,0.00472785397355846,62822,17.27468226902631
emotion_joy_over_neutral,0.03105618070395781,16.28251332366273,0.004202579611896851,62822,16.28251332366273
emotion_negative_mean,-0.7137680109337602,-15.59563002108229,0.0038568227498957386,62822,15.59563002108229
p_sadness_wmean_emotion,-0.3107952722372281,-15.504370976263868,0.003811989371611646,62822,15.504370976263868
p_neutral_wmean_emotion,-0.05084099639761358,-14.189982811009934,0.0031950377807772323,62822,14.189982811009934
p_disgust_wmean_emotion,-0.4387719688499904,-10.676884997708227,0.0018113560353584246,62822,10.676884997708227
entropy_wmean_emotion,0.030570190093953793,9.845096771649926,0.0015405382416546765,62822,9.845096771649926
p_surprise_wmean_emotion,0.05438242920586472,6.399394647178877,0.0006514736157080536,62822,6.399394647178877
n_tokens_total_emotion,-5.2580604374446e-07,-5.253940071947949,0.00043921939060087567,62822,5.253940071947949
p_fear_wmean_emotion,-0.10248908843567314,-5.112994409484461,0.0004159795765212859,62822,5.112994409484461
p_anger_wmean_emotion,-0.29674315100408566,-4.654149844274708,0.0003446934786588418,62822,4.654149844274708
emotion_arousal,0.07618892532799801,3.284104086403939,0.00017165692887655126,62822,3.284104086403939
